-4067236.6947529442	  inf
-3638211.5476206169	1.05483e-01
-3630777.5259894873	2.04332e-03
-3618325.0336300237	3.42970e-03
-3600431.9358447916	4.94513e-03
-3580522.2947460706	5.52979e-03
-3563446.9414351354	4.76896e-03
-3551886.1019819421	3.24429e-03
-3544706.1798853679	2.02144e-03
-3540025.2625314542	1.32054e-03
-3536868.2782522030	8.91797e-04
-3534932.7411696305	5.47246e-04
-3533700.5695866845	3.48570e-04
-3532811.1440501907	2.51698e-04
-3532105.2698244331	1.99805e-04
-3531523.2818826791	1.64771e-04
-3531035.8952846364	1.38010e-04
-3530650.8369585751	1.09050e-04
-3530337.1536069126	8.88458e-05
